x,y,w,h,frame,code
619,0,1247,719,114,1
85,48,660,719,114,2
620,0,1246,719,115,1
84,48,662,719,115,2
619,0,1244,719,116,1
83,47,663,719,116,2
618,0,1243,719,117,1
82,49,662,719,117,2
646,0,1268,719,118,1
114,34,704,719,118,2
657,0,1277,719,119,1
128,27,718,719,119,2
661,0,1279,719,120,1
135,22,723,719,120,2
663,0,1279,719,121,1
144,20,730,719,121,2
664,0,1279,719,122,1
146,19,727,719,122,2
683,0,1279,719,123,1
148,23,720,719,123,2
689,0,1279,719,124,1
158,27,721,719,124,2
675,0,1278,719,125,1
161,33,718,719,125,2
672,0,1271,719,126,1
161,34,723,719,126,2
668,0,1268,719,127,1
165,39,715,719,127,2
664,0,1266,719,128,1
163,41,709,719,128,2
662,0,1267,719,129,1
164,44,707,719,129,2
658,0,1266,719,130,1
161,40,710,719,130,2
653,0,1263,719,131,1
158,35,713,719,131,2
653,0,1265,719,132,1
160,32,717,719,132,2
649,0,1265,719,133,1
165,31,720,719,133,2
646,0,1267,719,134,1
169,31,722,719,134,2
638,0,1265,719,135,1
170,29,725,719,135,2
634,0,1265,719,136,1
167,30,723,719,136,2
629,0,1264,719,137,1
172,30,727,719,137,2
625,0,1263,719,138,1
175,28,730,719,138,2
620,0,1263,719,139,1
178,28,731,719,139,2
627,0,1273,719,140,1
179,28,731,719,140,2
640,0,1279,719,141,1
175,12,739,719,141,2
645,0,1279,719,142,1
180,14,733,719,142,2
647,0,1279,719,143,1
183,18,728,719,143,2
650,0,1279,719,144,1
182,28,727,719,144,2
651,0,1279,719,145,1
180,34,724,719,145,2
651,0,1279,719,146,1
183,37,724,719,146,2
654,0,1279,719,147,1
185,37,726,719,147,2
656,0,1279,719,148,1
186,37,726,719,148,2
656,0,1279,719,149,1
186,36,730,719,149,2
653,0,1279,719,150,1
186,33,733,719,150,2
653,0,1279,719,151,1
185,31,735,719,151,2
656,0,1279,719,152,1
183,27,737,719,152,2
656,0,1279,719,153,1
178,21,739,719,153,2
657,0,1279,719,154,1
180,25,734,719,154,2
658,0,1279,719,155,1
180,27,731,719,155,2
660,0,1279,719,156,1
182,29,729,719,156,2
660,0,1279,719,157,1
181,28,729,719,157,2
660,0,1279,719,158,1
181,30,726,719,158,2
660,0,1279,719,159,1
178,31,723,719,159,2
677,0,1279,719,160,1
178,33,721,719,160,2
668,0,1279,719,161,1
176,32,721,719,161,2
663,0,1279,719,162,1
177,33,720,719,162,2
662,0,1279,719,163,1
173,33,718,719,163,2
659,0,1279,719,164,1
172,33,716,719,164,2
657,0,1279,719,165,1
170,34,715,719,165,2
653,0,1277,719,166,1
168,33,714,719,166,2
650,0,1276,719,167,1
168,38,711,719,167,2
646,0,1275,719,168,1
169,41,707,719,168,2
642,0,1273,719,169,1
169,40,707,719,169,2
645,0,1276,719,170,1
171,39,708,719,170,2
645,0,1276,719,171,1
170,38,709,719,171,2
647,0,1278,719,172,1
172,42,707,719,172,2
644,0,1275,719,173,1
173,44,706,719,173,2
641,0,1273,719,174,1
168,39,709,719,174,2
642,0,1275,719,175,1
168,37,710,719,175,2
646,0,1279,719,176,1
173,33,707,719,176,2
650,0,1279,719,177,1
174,42,708,719,177,2
650,0,1279,719,178,1
173,46,709,719,178,2
647,0,1277,719,179,1
173,47,710,719,179,2
647,0,1277,719,180,1
171,45,713,719,180,2
647,0,1277,719,181,1
167,45,714,719,181,2
644,0,1275,719,182,1
158,32,717,719,182,2
643,0,1274,719,183,1
160,26,719,719,183,2
640,0,1271,719,184,1
164,22,722,719,184,2
639,0,1272,719,185,1
159,14,723,719,185,2
647,0,1279,719,186,1
164,20,720,719,186,2
650,0,1279,719,187,1
173,17,715,719,187,2
648,0,1279,719,188,1
182,17,718,719,188,2
645,0,1279,719,189,1
184,15,720,719,189,2
643,0,1279,719,190,1
185,14,722,719,190,2
640,0,1277,719,191,1
176,11,727,719,191,2
639,0,1277,719,192,1
174,12,726,719,192,2
644,0,1279,719,193,1
184,16,719,719,193,2
647,0,1279,719,194,1
185,17,717,719,194,2
648,0,1279,719,195,1
184,18,713,719,195,2
651,0,1279,719,196,1
183,17,713,719,196,2
651,0,1279,719,197,1
183,17,712,719,197,2
649,0,1279,719,198,1
182,16,712,719,198,2
652,0,1279,719,199,1
186,16,716,719,199,2
654,0,1279,719,200,1
185,11,720,719,200,2
654,0,1279,719,201,1
184,7,724,719,201,2
655,0,1279,719,202,1
183,7,723,719,202,2
655,0,1279,719,203,1
187,10,721,719,203,2
656,0,1279,719,204,1
187,11,719,719,204,2
654,0,1279,719,205,1
186,11,718,719,205,2
651,0,1279,719,206,1
187,13,716,719,206,2
650,0,1279,719,207,1
188,14,715,719,207,2
652,0,1279,719,208,1
190,16,715,719,208,2
657,0,1279,719,209,1
188,15,716,719,209,2
660,0,1279,719,210,1
186,14,717,719,210,2
659,0,1279,719,211,1
185,16,714,719,211,2
658,0,1279,719,212,1
186,19,713,719,212,2
655,0,1279,719,213,1
182,17,712,719,213,2
656,0,1279,719,214,1
180,14,714,719,214,2
655,0,1279,719,215,1
179,11,717,719,215,2
656,0,1279,719,216,1
180,8,720,719,216,2
659,0,1279,719,217,1
181,7,721,719,217,2
660,0,1279,719,218,1
182,7,720,719,218,2
660,0,1279,719,219,1
179,7,717,719,219,2
660,0,1279,719,220,1
177,5,716,719,220,2
658,0,1279,719,221,1
175,5,713,719,221,2
655,0,1279,719,222,1
166,0,715,719,222,2
655,0,1279,719,223,1
161,0,716,719,223,2
657,0,1279,719,224,1
159,0,713,719,224,2
659,0,1279,719,225,1
155,0,711,719,225,2
661,0,1279,719,226,1
150,0,712,719,226,2
661,0,1279,719,227,1
146,0,713,719,227,2
661,0,1279,719,228,1
143,0,713,719,228,2
